S.no,Menu,Questions,Query,Table name,Result & Answer Format,Question with Facility Code
76,Calibration Order,Retrieve flow meter difference data for a calibration order,"SELECT c.calibration_flow_meter_difference_calibration_id AS calibration_id, c.calibration_flow_meter_difference_unit AS unit, c.calibration_flow_meter_difference_notes AS notes, c.calibration_flow_meter_difference_master_actual AS master_actual_value, c.calibration_flow_meter_difference_test_actual AS test_actual_value, c.calibration_flow_meter_difference_master_actual_minus_test_actu AS difference, c.calibration_flow_meter_difference_error AS error FROM ai.calibration_flow_meter_difference c left join ai.calibrationmasterdetails on calibration_flow_meter_difference_calibration_id = calibration_id WHERE c.calibration_flow_meter_difference_calibration_id = 'CO000070'
and calibration_facility_code in ('MYS-PB-REAC AND PE','MYS-MATERIALS','MYS-PB-GENERAL','MYS-WPB-PRS');","calibration_flow_meter_difference,calibrationmasterdetails","Flow Meter Difference:
Calibration ID: CO000070
Unit: L/min
Notes: Master and test instrument comparison
Master instrument Actual Value: 150.0000
Test instrument Actual Value: 147.5000
Difference: 2.5000
Error: 1.67%","#User Facility#
['MYS-PB-REAC AND PE', 'MYS-MATERIALS','MYS-PB-GENERAL','MYS-WPB-PRS']

User Query: Retrieve flow meter difference data for a calibration order"
77,Calibration Order,Find calibration orders where the flow meter error is above a threshold of 2%,"SELECT c.calibration_flow_meter_difference_calibration_id AS calibration_id, c.calibration_flow_meter_difference_master_actual AS master_actual_value, c.calibration_flow_meter_difference_test_actual AS test_actual_value, c.calibration_flow_meter_difference_master_actual_minus_test_actu AS difference, c.calibration_flow_meter_difference_error AS error FROM ai.calibration_flow_meter_difference c LEFT JOin ai.calibrationmasterdetails d ON c.calibration_flow_meter_difference_calibration_id = d.calibration_id WHERE TRIM(c.calibration_flow_meter_difference_error::TEXT) <> '' AND c.calibration_flow_meter_difference_error::TEXT ~ '^[0-9]*\.?[0-9]+$' AND CAST(c.calibration_flow_meter_difference_error AS NUMERIC) > 2.00
AND d.calibration_facility_code in ('MYS-PB-REAC AND PE', 'MYS-MATERIALS', 'MYS-PB-GENERAL', 'MYS-WPB-PRS');","calibration_flow_meter_difference,calibrationmasterdetails","High Flow Meter Error Observations:
Calibration ID: CO000071
Master instrument Actual Value: 200.0000
Test instrument Actual Value: 194.0000
Difference: 6.0000
Error: 3.00%","#User Facility#
['MYS-PB-REAC AND PE', 'MYS-MATERIALS','MYS-PB-GENERAL','MYS-WPB-PRS']

User Query: Find calibration orders where the flow meter error is above a threshold of 2%"
78,Calibration Order,Identify calibration orders where the flow meter test instrument reading is greater than master instrument reading,"SELECT c.calibration_flow_meter_difference_calibration_id AS calibration_id, c.calibration_flow_meter_difference_master_actual AS master_actual_value, c.calibration_flow_meter_difference_test_actual AS test_actual_value, c.calibration_flow_meter_difference_master_actual_minus_test_actu AS difference FROM ai.calibration_flow_meter_difference c LEFT JOin ai.calibrationmasterdetails d ON c.calibration_flow_meter_difference_calibration_id = d.calibration_id WHERE CAST(c.calibration_flow_meter_difference_test_actual AS NUMERIC) > CAST(c.calibration_flow_meter_difference_master_actual AS NUMERIC)
AND d.calibration_facility_code in ('MYS-PB-REAC AND PE', 'MYS-MATERIALS', 'MYS-PB-GENERAL', 'MYS-WPB-PRS');","calibration_flow_meter_difference,calibrationmasterdetails","Test instrument Greater Than Master:
Calibration ID: CO000073
Master instrument Actual Value: 180.0000
Test instrument Actual Value: 185.0000
Difference: -5.0000","#User Facility#
['MYS-PB-REAC AND PE', 'MYS-MATERIALS','MYS-PB-GENERAL','MYS-WPB-PRS']

User Query: Identify calibration orders where the flow meter test instrument reading is greater than master instrument reading"
79,Calibration Order,List all calibration orders where the flow meter test difference is within an acceptable tolerance (±2 0),"SELECT c.calibration_flow_meter_difference_calibration_id AS calibration_id, c.calibration_flow_meter_difference_master_actual AS master_actual_value, c.calibration_flow_meter_difference_test_actual AS test_actual_value, c.calibration_flow_meter_difference_master_actual_minus_test_actu AS difference FROM ai.calibration_flow_meter_difference c LEFT JOin ai.calibrationmasterdetails d ON c.calibration_flow_meter_difference_calibration_id = d.calibration_id WHERE ABS(CAST(c.calibration_flow_meter_difference_master_actual_minus_test_actu AS NUMERIC)) <= 2.00
AND d.calibration_facility_code in ('MYS-PB-REAC AND PE', 'MYS-MATERIALS', 'MYS-PB-GENERAL', 'MYS-WPB-PRS');","calibration_flow_meter_difference,calibrationmasterdetails","Within Tolerance Observations:
Calibration ID: CO000075
Master instrument Actual Value: 120.0000
Test instrument Actual Value: 121.5000
Difference: 1.5000
Calibration ID: CO000076
Master instrument Actual Value: 280.0000
Test instrument Actual Value: 279.0000
Difference: -1.0000","#User Facility#
['MYS-PB-REAC AND PE', 'MYS-MATERIALS','MYS-PB-GENERAL','MYS-WPB-PRS']

User Query: List all calibration orders where the flow meter test difference is within an acceptable tolerance (±2 0)"
80,Calibration Order,Retrieve all checklist tasks for a given calibration order id CO000080,"SELECT calibration_order_checklist_task_description AS task_description, calibration_order_checklist_assigned_to AS assigned_to, calibration_order_checklist_estimated_effort AS estimated_effort, calibration_order_checklist_actual_effort AS actual_effort, calibration_order_checklist_completion_status AS completion_status FROM ai.calibration_order_checklist left join ai.calibrationmasterdetails on calibration_order_checklist_calibration_id = calibration_id WHERE calibration_order_checklist_calibration_id = 'CO000080'
and calibration_facility_code in ('MYS-PB-REAC AND PE','MYS-MATERIALS','MYS-PB-GENERAL','MYS-WPB-PRS');","calibration_order_checklist,calibrationmasterdetails","Checklist Tasks:
Calibration ID: CO000080
Task Description: Verify pressure gauge readings.
Assigned To: John Doe
Estimated Effort: 2 hours
Actual Effort: 1.5 hours
Completion Status: Yes

Task Description: Perform standard calibration procedure.
Assigned To: Jane Smith
Estimated Effort: 3 hours
Actual Effort: 2.5 hours
Completion Status: No","#User Facility#
['MYS-PB-REAC AND PE', 'MYS-MATERIALS','MYS-PB-GENERAL','MYS-WPB-PRS']

User Query: Retrieve all checklist tasks for a given calibration order id CO000080"
81,Calibration Order,Retrieve all calibration checklist tasks marked as nonconformance,"SELECT calibration_order_checklist_task_description AS task_description, calibration_order_checklist_assigned_to AS assigned_to, calibration_order_checklist_estimated_effort AS estimated_effort, calibration_order_checklist_actual_effort AS actual_effort, calibration_order_checklist_nonconformance_task_status AS nonconformance_status, calibration_order_checklist_completion_status AS completion_status FROM ai.calibration_order_checklist left join ai.calibrationmasterdetails on calibration_order_checklist_calibration_id = calibration_id WHERE calibration_order_checklist_nonconformance_task_status = 'true'
and calibration_facility_code in ('MYS-PB-REAC AND PE','MYS-MATERIALS','MYS-PB-GENERAL','MYS-WPB-PRS');","calibration_order_checklist,calibrationmasterdetails","Nonconformance Checklist Tasks:
Calibration ID: CO000080
Task Description: Pressure gauge failed accuracy test.
Assigned To: Michael Green
Estimated Effort: 3 hours
Actual Effort: 3.5 hours
Nonconformance Status: Yes
Completion Status: Yes

Task Description: Sensor deviation exceeds tolerance.
Assigned To: Sarah White
Estimated Effort: 4 hours
Actual Effort: 4.2 hours
Nonconformance Status: Yes
Completion Status: Yes","#User Facility#
['MYS-PB-REAC AND PE', 'MYS-MATERIALS','MYS-PB-GENERAL','MYS-WPB-PRS']

User Query: Retrieve all calibration checklist tasks marked as nonconformance"
82,Calibration Order,Get the next calibration date for a specific instrument based on its instrument code,"SELECT calibration_instrument_code, calibration_next_calibration_date FROM ai.calibrationmasterdetails WHERE calibration_facility_code in ('MYS-PB-REAC AND PE','MYS-MATERIALS','MYS-PB-GENERAL','MYS-WPB-PRS') group by calibration_instrument_code,calibration_next_calibration_date",calibrationmasterdetails,"Calibration Schedule:
Instrument Code: PG001
Next Calibration Date: 2025-02-01
Instrument Code: PG002
Next Calibration Date: 2025-06-15","#User Facility#
['MYS-PB-REAC AND PE', 'MYS-MATERIALS','MYS-PB-GENERAL','MYS-WPB-PRS']

User Query: Get the next calibration date for a specific instrument based on its instrument code"
83,Calibration Order,Find the instruments that were discarded along with their reasons,"SELECT calibration_instrument_code, calibration_instrument_discarded_reason, calibration_instrument_discarded_date FROM ai.calibrationmasterdetails WHERE calibration_instrument_discarded = 'true' and calibration_facility_code in ('MYS-PB-REAC AND PE','MYS-MATERIALS','MYS-PB-GENERAL','MYS-WPB-PRS') group by calibration_instrument_code,calibration_instrument_discarded_reason,calibration_instrument_discarded_date",calibrationmasterdetails,"Discarded instruments:
Instrument Code: PG001
Reason: Damaged beyond repair
Date: 2024-06-10
Instrument Code: PG002
Reason: Failed calibration multiple times
Date: 2024-07-20","#User Facility#
['MYS-PB-REAC AND PE', 'MYS-MATERIALS','MYS-PB-GENERAL','MYS-WPB-PRS']

User Query: Find the instruments that were discarded along with their reasons"
84,Calibration Order,Identify calibrations where malfunctions were reported along with descriptions,"SELECT calibration_id,calibration_instrument_code, calibration_malfunction_reported_description FROM ai.calibrationmasterdetails WHERE calibration_malfunction_reported = 'true' and calibration_facility_code in ('MYS-PB-REAC AND PE','MYS-MATERIALS','MYS-PB-GENERAL','MYS-WPB-PRS');",calibrationmasterdetails,"Malfunction Reports:
Instrument Code: PG001
Issue: Sensor failure detected
Instrument Code: PG002
Issue: Pressure fluctuation beyond limit","#User Facility#
['MYS-PB-REAC AND PE', 'MYS-MATERIALS','MYS-PB-GENERAL','MYS-WPB-PRS']

User Query: Identify calibrations where malfunctions were reported along with descriptions"
85,Calibration Order,Identify instruments where calibration validity has expired,"SELECT 
    c.calibration_id, 
    c.calibration_instrument_code, 
    i.instrument_master_information_validity
FROM 
    ai.calibrationmasterdetails c
LEFT JOIN LATERAL 
    unnest(c.calibration_master_instrument_information_id) AS inst_id 
    ON TRUE
LEFT JOIN 
    ai.instrument_master_information i 
    ON inst_id = i.instrument_master_information_id
WHERE 
    i.instrument_master_information_validity < CURRENT_DATE
    AND c.calibration_facility_code IN (
        'MYS-PB-REAC AND PE',
        'MYS-MATERIALS',
        'MYS-PB-GENERAL',
        'MYS-WPB-PRS'
    );",calibrationmasterdetails,"Expired instruments:
Calorder ID: CO000005
Instrument Code: PG005","#User Facility#
['MYS-PB-REAC AND PE', 'MYS-MATERIALS','MYS-PB-GENERAL','MYS-WPB-PRS']

User Query: Identify instruments where calibration validity has expired"
86,Calibration Order,How many calibration checklists have no notes or observations even though they are marked as completed,"SELECT COUNT(*) AS missing_notes_or_observations
FROM ai.calibration_order_checklist left join ai.calibrationmasterdetails on calibration_order_checklist_calibration_id = calibration_id
WHERE calibration_order_checklist_completion_status = 'true'
AND (calibration_order_checklist_notes IS NULL OR TRIM(calibration_order_checklist_notes) = '')
AND (calibration_order_checklist_observation IS NULL OR TRIM(calibration_order_checklist_observation) = '') and calibration_facility_code in ('SRP-EMU') ;",calibration_order_checklist,"Calibration ID : SRIP-CO001747
Task Description: ""Calibrate sensor A""
Assigned To: John Doe
Estimated Effort:00:10
Actual Effort: 00:05
Notes:
Observations: 
NC Status: No
Completion Status: Yes","#User Facility#
['SRP-EMU']

User Query: How many calibration checklists have no notes or observations even though they are marked as completed"
87,Instrument Master,what is the instrument category of instrument code PANK-XVI30105,"SELECT instrument_category 
 FROM ai.instrument_master 
 WHERE instrument_code = 'PANK-XVI30105' 
 AND instrument_located_at_facility_code IN ('PHN Second Floor Plant 3')",instrument_master,Category: Floor Instrument,"#User Facility#
['PHN Second Floor Plant 3']

User Query: what is the instrument category of instrument code PANK-XVI30105"
88,Instrument Master,what is the instrument type of instrument code PANK-FXI30039,"SELECT instrument_type 
 FROM ai.instrument_master 
 WHERE instrument_code = 'PANK-FXI30039' 
 AND instrument_located_at_facility_code IN ('MPP-1 First Floor Plant 3')",instrument_master,Category: Floor Transmitter,"#User Facility#
['MPP-1 First Floor Plant 3']

User Query: what is the instrument type of instrument code PANK-FXI30039"
89,Instrument Master,what is the name of instrument STAB- APS,"SELECT instrument_name 
 FROM ai.instrument_master 
 WHERE instrument_code = 'STAB-APS' 
 AND instrument_located_at_facility_code IN ('APPS')",instrument_master,Instrument Name: STABILIZER - APS,"#User Facility#
['APPS']

User Query: what is the name of instrument STAB- APS"
90,Instrument Master,what is the installation date of instrument STAB- APS,"SELECT instrument_installation_date
 FROM ai.instrument_master
 WHERE instrument_code = 'STAB- APS'
 AND instrument_located_at_facility_code IN ('APPS ')",instrument_master,Installation Date: 10-02-2025,"#User Facility#
['APPS']

User Query: what is the installation date of instrument STAB- APS"
91,Instrument Master,How many master instruments are available,select count(*) from ai.instrument_master where instrument_category = 'Master Instrument' and instrument_located_at_facility_code in ('ATC-GJ');,instrument_master,No of Master Instruments: 34,"#User Facility#
['ATC-GJ']

User Query: How many master instruments are available"
92,Instrument Master,How many active instrument are available,select COUNT(*) from ai.instrument_master where instrument_status !='Discarded' and instrument_located_at_facility_code in ('ATC-GJ');,instrument_master,Active Instruments: 767,"#User Facility#
['ATC-GJ']

User Query: How many active instrument are available"
93,Instrument Master,How many non-master instruments are without having instrument mapping,select COUNT(*) from ai.instrument_master i left join ai.instrument_master_information m on i.instrument_code = m.instrument_master_information_instrument_code where instrument_master_information_instrument_id is null and instrument_category != 'Master Instrument' and i.instrument_located_at_facility_code in ('ATC-GJ'),"instrument_master,instrument_master_information",No of instruments without having master instrument information mapping: 34,"#User Facility#
['ATC-GJ']

User Query: How many non-master instruments are without having instrument mapping"
94,Instrument Master,How many instruments have a valid validity date,"select * from ai.instrument_master i left join ai.instrument_master_information m on i.instrument_code = m.instrument_master_information_instrument_code where m.instrument_master_information_validity >= current_date and 
 i.instrument_located_at_facility_code in ('INSTRUMENTATION LAB')","instrument_master,instrument_master_information",No of instruments with Valid Validity Date: 15,"#User Facility#
['INSTRUMENTATION LAB']

User Query: How many instruments have a valid validity date"
95,Instrument Master,How many instruments dont have tracability,"select * from ai.instrument_master i left join ai.instrument_master_information m on i.instrument_code = m.instrument_master_information_instrument_code where coalesce(m.instrument_master_information_traceability,'') ='' and i.instrument_located_at_facility_code in ('INSTRUMENTATION LAB')","instrument_master,instrument_master_information",No of instruments dont have tracability: 1226,"#User Facility#
['INSTRUMENTATION LAB']

User Query: How many instruments dont have tracability"
96,Instrument Master,How many instrument dont have certificate,"select * from ai.instrument_master i left join ai.instrument_master_information m on i.instrument_code = m.instrument_master_information_instrument_code where coalesce(m.instrument_master_information_certificate_number,'') ='' and i.instrument_located_at_facility_code in ('INSTRUMENTATION LAB')","instrument_master,instrument_master_information",No of instruments dont have certificate: 1226,"#User Facility#
['INSTRUMENTATION LAB']

User Query: How many instrument dont have certificate"
97,Opp.Maintenance,"How many orders were completed in the ""SRIP"" plant from the opportunity maintenance","SELECT COUNT(*) FROM ai.workorder_opportunity_maintenance WHERE workorder_opportunity_maintenance_facility_code in ('SRP-QAD','SRP-DC-FHY','SRP','SRP-OUT','SRP-WPB-PKG','SRP-MAT-SIL','SRP-WPB-PRS')
AND workorder_opportunity_maintenance_workorder_id_status in ('Closed','Completed');",workorder_opportunity_maintenance,Completed orders which is created from Opportunity maintenance: 6,"#User Facility#
['SRP-QAD','SRP-DC-FHY','SRP','SRP-OUT','SRP-WPB-PKG','SRP-MAT-SIL','SRP-WPB-PRS']

User Query: How many orders were completed in the ""SRIP"" plant from the opportunity maintenance"
98,Opp.Maintenance,What is the count of orders with abnormal categories related to vibration issues which is created from the opportunity maintenance,"SELECT COUNT(*) FROM ai.workorder_opportunity_maintenance WHERE workorder_opportunity_maintenance.workorder_opportunity_maintenance_abnormal_category ilike '%vibration%' and workorder_opportunity_maintenance_facility_code in ('SRP-QAD','SRP-DC-FHY','SRP','SRP-OUT','SRP-WPB-PKG','SRP-MAT-SIL','SRP-WPB-PRS')",workorder_opportunity_maintenance,"Orders with abnormal categories related to vibration issues, which are created from Opportunity maintenance: 6","#User Facility#
['SRP-QAD','SRP-DC-FHY','SRP','SRP-OUT','SRP-WPB-PKG','SRP-MAT-SIL','SRP-WPB-PRS']

User Query: What is the count of orders with abnormal categories related to vibration issues which is created from the opportunity maintenance"
99,Opp.Maintenance,"How many orders from the opportunity maintenance were assigned to the ""Electrical and Mechanical"" nature of work","SELECT COUNT(*) FROM ai.workorder_opportunity_maintenance WHERE workorder_opportunity_maintenance_facility_code in ('SRP-QAD','SRP-DC-FHY','SRP','SRP-OUT','SRP-WPB-PKG','SRP-MAT-SIL','SRP-WPB-PRS') and workorder_opportunity_maintenance.workorder_opportunity_maintenance_nature_of_work ILIKE '%Electrical and Mechanical%';",workorder_opportunity_maintenance,"No of orders assigned to the ""Electrical and Mechanical"" nature of work which is created from the Opportunity Maintenance: 18","#User Facility#
['SRP-QAD','SRP-DC-FHY','SRP','SRP-OUT','SRP-WPB-PKG','SRP-MAT-SIL','SRP-WPB-PRS']

User Query: How many orders from the opportunity maintenance were assigned to the ""Electrical and Mechanical"" nature of work"
100,Opp.Maintenance,"Which abnormal categories from opportunity maintenance are most frequently associated with orders in the ""SRIP"" section","SELECT workorder_opportunity_maintenance.workorder_opportunity_maintenance_abnormal_category, COUNT(*) FROM ai.workorder_opportunity_maintenance WHERE workorder_opportunity_maintenance_facility_code in ('SRP-QAD','SRP-DC-FHY','SRP','SRP-OUT','SRP-WPB-PKG','SRP-MAT-SIL','SRP-WPB-PRS') and workorder_opportunity_maintenance_abnormal_category !='' GROUP BY workorder_opportunity_maintenance.workorder_opportunity_maintenance_abnormal_category ORDER BY COUNT(*) DESC LIMIT 1;",workorder_opportunity_maintenance,"Abnormal Category: ""Vibration Issues"", No of  Orders: 4","#User Facility#
['SRP-QAD','SRP-DC-FHY','SRP','SRP-OUT','SRP-WPB-PKG','SRP-MAT-SIL','SRP-WPB-PRS']

User Query: Which abnormal categories from opportunity maintenance are most frequently associated with orders in the ""SRIP"" section"
101,Opp.Maintenance,"How many orders from opportunity maintenance mention the abnormal category ""excess vibration in motor""","SELECT COUNT(*) FROM ai.workorder_opportunity_maintenance WHERE workorder_opportunity_maintenance_facility_code in ('SRP-QAD','SRP-DC-FHY','SRP','SRP-OUT','SRP-WPB-PKG','SRP-MAT-SIL','SRP-WPB-PRS') and workorder_opportunity_maintenance.workorder_opportunity_maintenance_abnormal_category ilike '%excess%vibration%in%motor%';",workorder_opportunity_maintenance,"No of orders with abnormal category ""excess vibration in motor"": 2","#User Facility#
['SRP-QAD','SRP-DC-FHY','SRP','SRP-OUT','SRP-WPB-PKG','SRP-MAT-SIL','SRP-WPB-PRS']

User Query: How many orders from opportunity maintenance mention the abnormal category ""excess vibration in motor"""
102,Opp.Maintenance,"Which orders from opportunity maintenance involve abnormal categories related to ""cleaning""","SELECT count(*) FROM ai.workorder_opportunity_maintenance WHERE workorder_opportunity_maintenance_facility_code in ('SRP-QAD','SRP-DC-FHY','SRP','SRP-OUT','SRP-WPB-PKG','SRP-MAT-SIL','SRP-WPB-PRS') and workorder_opportunity_maintenance.workorder_opportunity_maintenance_abnormal_category ILIKE '%cleaning%';",workorder_opportunity_maintenance,"Workorder ID: WO34567, Abnormal Category: ""Cleaning""","#User Facility#
['SRP-QAD','SRP-DC-FHY','SRP','SRP-OUT','SRP-WPB-PKG','SRP-MAT-SIL','SRP-WPB-PRS']

User Query: Which orders from opportunity maintenance involve abnormal categories related to ""cleaning"""
103,Opp.Maintenance,"How many tasks from the opportunity maintenance from the ""SRP"" section are pending for closure with the abnormal category ""clamps""","SELECT COUNT(*) AS total_pending_opportunity_maintenance_tasks
FROM workorder_opportunity_maintenance wom
WHERE wom.workorder_opportunity_maintenance_facility_code in ('SRP-DC')
AND wom.workorder_opportunity_maintenance_abnormal_category ILIKE '%clamps%'
AND wom.workorder_opportunity_maintenance_details_status = 'false';",workorder_opportunity_maintenance,Clamp Count: 0,"#User Facility#
['SRP-DC']

User Query: How many tasks from the opportunity maintenance from the ""SRP"" section are pending for closure with the abnormal category ""clamps"""
104,Spares Master,What is the total number of spare parts available from each store,"SELECT 
    ai.spareparts_store_wise_stock.spareparts_store_wise_stock_store_code,
    COUNT(*) AS total_count
FROM 
    ai.spareparts_master
JOIN 
    ai.spareparts_store_wise_stock
    ON ai.spareparts_master.spareparts_part_code = ai.spareparts_store_wise_stock.spareparts_store_wise_stock_part_code
JOIN 
    ai.facilitylinkstore
    ON ai.spareparts_store_wise_stock.spareparts_store_wise_stock_store_code = ai.facilitylinkstore.facilitylink_storecode
WHERE 
    ai.spareparts_store_wise_stock.spareparts_store_wise_stock_store_code IN ('1106-ENG4')
    AND ai.facilitylinkstore.facilitylink_facility_code IN ('SRP-WPB')
GROUP BY 
    ai.spareparts_store_wise_stock.spareparts_store_wise_stock_store_code;
","spareparts_master, spareparts_store_wise_stock","Store: 1106-ENG2, Total Spare Parts: 4000
Store: 1106-ENG4, Total Spare Parts: 300","#User Facility#
['SRP-WPB']

User Query: What is the total number of spare parts available from each store"
105,Spares Master,list of all spare parts,"SELECT ai.spareparts_master.spareparts_part_name,
ai.spareparts_master.spareparts_part_code,
ai.spareparts_master.spareparts_part_category,
ai.spareparts_master.spareparts_part_grouping,
ai.spareparts_master.spareparts_part_unit_of_measurement
FROM ai.spareparts_master
JOin ai.spareparts_store_wise_stock
ON ai.spareparts_master.spareparts_part_code = ai.spareparts_store_wise_stock.spareparts_store_wise_stock_part_code
JOin ai.facilitylinkstore
ON ai.spareparts_store_wise_stock.spareparts_store_wise_stock_store_code = ai.facilitylinkstore.facilitylink_storecode
WHERE ai.spareparts_store_wise_stock.spareparts_store_wise_stock_store_code in ('1106-ENG4')
AND ai.facilitylinkstore.facilitylink_facility_code in ('SRP-WPB');","spareparts_master, spareparts_store_wise_stock","Spare Part name: SEAL:OIL SEAL_65X90X10
Spare Part code: MN2464
Category: Spares
Grouping: Mechanical
UOM: Litre","#User Facility#
['SRP-WPB']

User Query: list of all spare parts"
106,Spares Master,count the total number of spare parts,"SELECT count(*)
FROM ai.spareparts_master
JOin ai.spareparts_store_wise_stock
ON ai.spareparts_master.spareparts_part_code = ai.spareparts_store_wise_stock.spareparts_store_wise_stock_part_code
JOin ai.facilitylinkstore
ON ai.spareparts_store_wise_stock.spareparts_store_wise_stock_store_code = ai.facilitylinkstore.facilitylink_storecode
WHERE ai.spareparts_store_wise_stock.spareparts_store_wise_stock_store_code in ('1106-ENG4')
AND ai.facilitylinkstore.facilitylink_facility_code in ('SRP-WPB');","spareparts_master, spareparts_store_wise_stock","Total Spare Parts: 1,250","#User Facility#
['SRP-WPB']

User Query: count the total number of spare parts"
107,Spares Master,the total stock of all spare parts store wise,"SELECT 
    spareparts_store_wise_stock.spareparts_store_wise_stock_store_code,
    SUM(spareparts_store_wise_stock.spareparts_store_wise_stock_available_quantity) AS total_available_quantity
FROM 
    ai.spareparts_master
JOIN 
    ai.spareparts_store_wise_stock
    ON spareparts_master.spareparts_part_code = spareparts_store_wise_stock.spareparts_store_wise_stock_part_code
JOIN 
    ai.facilitylinkstore
    ON spareparts_store_wise_stock.spareparts_store_wise_stock_store_code = facilitylinkstore.facilitylink_storecode
WHERE 
    spareparts_store_wise_stock.spareparts_store_wise_stock_store_code IN ('1106-ENG4')
    AND facilitylinkstore.facilitylink_facility_code IN ('SRP-WPB')
GROUP BY 
    spareparts_store_wise_stock.spareparts_store_wise_stock_store_code;","spareparts_master, spareparts_store_wise_stock","Store: 1106-ENG2, Total Stock: 4000
Store: 1106-ENG4, Total Stock: 300","#User Facility#
['SRP-WPB']

User Query: the total stock of all spare parts store wise"
108,Spares Master,Retrieve the most expensive spare part,"SELECT
spareparts_master.spareparts_part_name,spareparts_master.spareparts_part_code,
spareparts_store_wise_stock.spareparts_store_wise_stock_last_price
FROM ai.spareparts_master
JOIN ai.spareparts_store_wise_stock ON spareparts_master.spareparts_part_code = spareparts_store_wise_stock.spareparts_store_wise_stock_part_code
JOIN ai.facilitylinkstore
ON spareparts_store_wise_stock.spareparts_store_wise_stock_store_code = ai.facilitylinkstore.facilitylink_storecode
WHERE spareparts_store_wise_stock.spareparts_store_wise_stock_store_code IN ('1106-ENG4')
AND ai.facilitylinkstore.facilitylink_facility_code IN ('SRP-WPB')
ORDER BY spareparts_master.spareparts_part_totalstock DESC
LIMIT 1;","spareparts_master, spareparts_store_wise_stock","Spare Part Code:TGF5435, Price: 5,000","#User Facility#
['SRP-WPB']

User Query: Retrieve the most expensive spare part"
109,Spares Master,How do we find the least expensive spare part,"SELECT
spareparts_master.spareparts_part_code,
spareparts_store_wise_stock.spareparts_store_wise_stock_last_price
FROM ai.spareparts_master
JOIN ai.spareparts_store_wise_stock ON spareparts_master.spareparts_part_code = spareparts_store_wise_stock.spareparts_store_wise_stock_part_code
JOIN ai.facilitylinkstore
ON spareparts_store_wise_stock.spareparts_store_wise_stock_store_code = ai.facilitylinkstore.facilitylink_storecode
WHERE spareparts_store_wise_stock.spareparts_store_wise_stock_store_code IN ('1106-ENG4')
AND ai.facilitylinkstore.facilitylink_facility_code IN ('SRP-WPB')
ORDER BY spareparts_master.spareparts_part_totalstock ASC
LIMIT 1;","spareparts_master, spareparts_store_wise_stock","Spare Part Code:TGF5435, Price: 500","#User Facility#
['SRP-WPB']

User Query: How do we find the least expensive spare part"
110,Spares Master,How do we get the total count of active spare parts,"SELECT COUNT(*) FROM ai.spareparts_master JOIN ai.spareparts_store_wise_stock ON spareparts_master.spareparts_part_code = spareparts_store_wise_stock.spareparts_store_wise_stock_part_code JOIN ai.facilitylinkstore
ON spareparts_store_wise_stock.spareparts_store_wise_stock_store_code = ai.facilitylinkstore.facilitylink_storecode
WHERE spareparts_store_wise_stock.spareparts_store_wise_stock_store_code IN ('1106-ENG4') AND spareparts_master.spareparts_part_activestatus = TRUE AND ai.facilitylinkstore.facilitylink_facility_code IN ('SRP-WPB');","spareparts_master, spareparts_store_wise_stock","Total Active Spare Parts: 1,000","#User Facility#
['SRP-WPB']

User Query: How do we get the total count of active spare parts"
111,Spares Master,How do we find all spare parts where spareparts_part_name starts with ‘Motor’,"SELECT spareparts_part_name, spareparts_part_description FROM ai.spareparts_master JOIN ai.spareparts_store_wise_stock ON spareparts_part_code = spareparts_store_wise_stock_part_code JOIN ai.facilitylinkstore
ON spareparts_store_wise_stock_store_code = ai.facilitylinkstore.facilitylink_storecode
WHERE spareparts_part_name ILIKE '%Motor%' AND spareparts_store_wise_stock_store_code IN ('1106-ENG4') AND ai.facilitylinkstore.facilitylink_facility_code IN ('SRP-WPB');","spareparts_master, spareparts_store_wise_stock","Spare Part Name: Motor Pump, Description: Pump Description","#User Facility#
['SRP-WPB']

User Query: How do we find all spare parts where spareparts_part_name starts with ‘Motor’"
112,Spares Master,"How do we find spare parts in the categories ‘Electrical’, ‘Mechanical’, and ‘Plumbing’","SELECT spareparts_part_code, spareparts_part_name, spareparts_part_category FROM ai.spareparts_master JOIN ai.spareparts_store_wise_stock ON spareparts_part_code = spareparts_store_wise_stock_part_code JOIN ai.facilitylinkstore
ON spareparts_store_wise_stock_store_code = ai.facilitylinkstore.facilitylink_storecode
WHERE spareparts_part_category IN ('Electrical', 'Mechanical', 'Plumbing') AND spareparts_store_wise_stock_store_code IN ('1106-ENG4') AND ai.facilitylinkstore.facilitylink_facility_code IN ('SRP-WPB');","spareparts_master, spareparts_store_wise_stock","Spare Part Name: Circuit Breaker, Part Code: FGH345, Category: Electrical","#User Facility#
['SRP-WPB']

User Query: How do we find spare parts in the categories ‘Electrical’, ‘Mechanical’, and ‘Plumbing’"
